Milestone,Backlog Story Item,Task,Status,Points,Hours Spent,Notes,,Point Multiplier,Predicted Time,Time Left,
Report,Report Format / Style,Latex Investigation,Complete,1,0.5,,,0.50,1.1,,
Report,Report Format / Style,Local Latex Dev Investigation,Complete,2,0.5,,,0.25,2.1,,
Report,Report Format / Style,Overleaf Investigation,Complete,1,0.5,,,0.50,1.1,,
Report,Report Format / Style,Acronyms Prototype,Complete,1,0.5,,,0.50,1.1,,
Report,Report Format / Style,Glossary Prototype,Complete,2,0.5,,,0.25,2.1,,
Report,Report Format / Style,References Style,Complete,4,3,,,0.75,4.3,,
Report,Report Format / Style,Quote Package,Complete,2,1,,,0.50,2.1,,
Report,Report Format / Style,Inserting SVG Prototype,Complete,1,2,,,2.00,1.1,,
Report,Report Format / Style,Multi-file  Latex setup,Complete,2,0.5,,,0.25,2.1,,
Report,Report Format / Style,Math Notation Prototype,Not Started,4,,,,,4.3,4.28,
Report,Report Format / Style,Hyper links,Complete,3,1,,,0.33,3.2,,
Report,,,Empty,,,,,,0.0,0.00,
Report,Abstract,Abstract Structure,Not Started,0.5,,,,,0.5,0.53,
Report,Abstract,Convert to Latex,Not Started,0.5,,,,,0.5,0.53,
Report,Abstract,Edits from Feedback,Not Started,1,,,,,1.1,1.07,
Report,Abstract,Edits from Peer Feedback,Not Started,1,,,,,1.1,1.07,
Report,,,Empty,,,,,,0.0,0.00,
Report,Introduction,Introduction Structure,Not Started,0.5,,,,,0.5,0.53,
Report,Introduction,Convert to Latex,Not Started,0.5,,,,,0.5,0.53,
Report,Introduction,Fetch references,Not Started,1,,,,,1.1,1.07,
Report,Introduction,Edits from Feedback,Not Started,1,,,,,1.1,1.07,
Report,Introduction,Edits from Peer Feedback,Not Started,1,,,,,1.1,1.07,
Report,,,Empty,,,,,,0.0,0.00,
Report,Literature review,Review Structure,Complete,0.5,0.5,,,1.00,0.5,,
Report,Literature review,AI in academia Paper Review 1,Complete,4,6,,,1.50,4.3,,
Report,Literature review,AI in academia Paper Review 2,Complete,4,5,,,1.25,4.3,,
Report,Literature review,AI in academia Paper Review 3,Complete,4,3,,,0.75,4.3,,
Report,Literature review,AI in academia Paper Review 4,Complete,4,4,,,1.00,4.3,,
Report,Literature review,AI in academia Paper Review 5,Complete,4,4,,,1.00,4.3,,
Report,Literature review,AI in academia Paper Review 6,Complete,4,3,,,0.75,4.3,,
